Job Title,Tell Us Why You Left?
RE Sales Agent,"In exchange for giving up the percentage of commission I did, I expected to receive institutional listings to supplement my own transactions.  Because those transactions became far less frequent than in the past due to no fault of my own, and because the struggle to get files through compliance became more than I cared to deal with, I decided it was time to find a better income potential with another firm."
RE Sales Agent,Your training is very bad. The first day i met with the trainer i knew that it was not going to work and i was told i was going to get leads and that was not true. If your company get a better trainer and guarantee leads to me then I might rejoin your company. 
"Loan Processor,Rtl,SL,Sr.",I left due to my immediate supervisor Brenda Mack. She is extremely unprofessional (going out drinking with my peers and discussing her subordinates with my peers in a belittling manner as an example). Also the work life balance did not exist at Carrington. 
"Loan Counselor,Srvng,I","Carrington is a great company the management is the only thing that needs improvement is management which is Cale sizelove and the team I was on was ok, there need to be random drug testing. Favoritism is also an issue also. "
RE Sales Agent,"My primary reason for originally joining Carrington was for the REO listings since I am very experienced in that area of real estate. The Broker had claimed that there would be REO listings available. That never materialized after one year of being with the company and being told that the distressed market was down. This left me to peruse other options since I do fix & flips myself ans was purchasing distressed properties even though I was being told by the Broker that the distressed market was down. That lead me to believe that distressed properties were being assigned to other agents. So, I chose to leave for another company that also works in the REO/Short Sale field in real estate.    "
"Specialist,Special Servc.","I was a victim of racial profiling. I was not the only one that felt that way. It became more and more of an issue. There are Hispanic people in my department who were allowed to have tattoos showing, but every time mine showed even a little bit, I was corrected on the spot. Not to mention I was written up for having PTSD. I am a disabled veteran and I have episodes where my PTSD so bad it is hard to do everyday functions. I would let me supervisor know that I wouldnt be in because of my PTSD. This is not anything I can control when it happens. All day long the managers and other employees would speak to each other in Spanish just so us non Spanish speaking employees couldnt understand what they are saying. This issue was also brought up to Justin our director. I feel that I was being treated differently because of the color of my skin. "
RE Sales Agent,"Carrington was not very well established here in Denver.  We had a small office that was not suited to bring in clients. There were no computers. There was a copier. It seemed that he corporate office was not very interested in helping the local office to make a good impression or be competitive. Providing some money to get started would have been good.  /  / The training received was good. Webinars were informative. Partnerships for getting listings were disappointing. I spent $1000 on a 30 second video to receive leads from Xome. None ever came.  Working with Carrington Mortgage Services was difficult. None of the closings happened on time. I had one realtor tell me that if he saw any offers from me on other listings he had, he would tell his sellers not to consider it because of Carrington Mortgage Services.  I lost a buyer who went with another agent when they wanted to buy another home because of the bad taste from working with Carrington Mortgage. Overall, I believe Carrington RES could have provided more support for an agency just getting started in a new market."
"Superintendent,RF, Sr.","My counterpart was made to dig trenches for a week because our manager said he was not doing his job, I'm 54 years old and was afraid that if I was made to do that I would hurt my back again,  this same manager screams and puts us all down. "
RE Sales Agent,"The reason I left Carrington was my Broker John Zeigler. I have requested Zip Forms for six months and never he answered about it. Every time I have to do an agreement of sales, I did not have a form or addendum, I have to ask to other realtor to give a copy of the form, erased the company name with white out and the used it. 99.9 % of agents in the Lehigh Valley have online form to do any type of transaction except Carrington agents in the Lehigh Valley. I have to be asking other realtors to send me copy from their company to complete some of my transaction, because my broker could not provided us Zip Forms. Also my real estate license was sent to our office in PA and I asked my broker to send me the other part of my license ( The wallet one) and I got frustrated asking him for three months and he did not put attention to my request. My pocket licence was expired and I needed to have a copy of the new one, I sent him my address there time, several emails and he claimed that he sent it to me, but I never received and even thought I kept telling him that I need my real estate license ( the pocket one, he never send it to me and I felt that he did not care about me anymore and left"
RE Sales Agent,Not on purpose.  Was unable to put the time I needed into the business at that time.
"Processor,LossMitIntk,II","My family and I are relocating to Indiana. I tried my best to transfer, however Westfield office didn't have my position. I will definitely apply once I'm settled in and can work with set schedule since I have small children."
RE Sales Agent,"I was with your company for almost 6 years and I asked several times if you give me 90% and Claudia said that you were unable.  I looked for various companies and they offer me 100% and I would have to pay a fee, which is why I ‘ve decided to pursue other options. I have a lot to be grateful because I learned a great deal and I really like the company. "
"Specialist,CS,I",Management isn't great... no room to grow.... attendance ordnance is ridiculous 
RE Sales Agent,"i try to become friendly and helper to many people but they are a lot arrogant people, is not couching , sometime is hard to get a opinion of a supervisor or some one with more experience and    they look at your down like i am nothing. i was very inspire at the beginning but all went to hell because they even can tell u good morning  in there. a lot more reason but is ok. "
RE Sales Agent,Office to far
"Loan Officer, Retail",'-Lack of expected income / -Punitive Auto-fail policy that takes away commission from funded loans  / -Undelivering of promised portfolios by executives  / -Greater opportunities as other companies 
RE Sales Agent,"Lack of commissions for work performed.  Excessive fees, double dip referral fee for institutional clients, waiting excessive periods of time for small commisions. Time and resources of broker not valued by Carrington "
RE Sales Agent,I was looking to do and learn the multi-family commercial side of real estate. You don't offer this plat form and I was in a season where this had just been on my mind too long. My sales dropped and I also wanted an office closer to home and a fresh start. All in that order.
"Loan Officer,Rtl,Prtfl"," I left Carrington because I was presented with an opportunity to do more and to make three times the commission.  It was a great place to work it can be put as simply as this, opportunity  was given to me to take care of my family in an even bigger way and I had to take advantage of it.  Nothing regarding managers or the company made me leave only the rate of pay.  carrington on the retail side was not competitive enough for borrowers that needed a specific loan whether it be adjustable, jumbo or one of the many other products that Carrington does not provide. /  /  My new company is paying me a flat rate that is three times more than Carrington would pay me and this is with no minimum volume or units . /  /  Also in the end Westfield made new rules that we had to work Saturdays if we did not get three sales during the week Monday through Thursday .  I am a father of four daughters and my weekends are the only time that I get ."
"Loan Officer,Rtl,Prtfl","Current business model doesn't allow me to be the producer I wish to be. Better quality of leads to producers who clearly have great work ethics. Mgmt staff whom knows the ""Carrington Way"". This would allow newly appointed agents to have the correct guidance and training to be successful at their current role. Quicker turn times on loans. Processing staff who is motivated to close deals. Knowledgeable processors...."
RE Sales Agent,"Your company training is more for the new agents and I am not. I expected to receive some leads for 30/70 split...it didn't work. Sorry, I wish I thought it thru better."
"Specialist,LSSetup","My supervisor, Ingrid Garcia is a major micro manager / Who speaks badly of people on her team "
"Loan Officer,Rtl,Prtfl,Sr",Not able to make the money I needed with the lack of new business/leads. 
"Analyst,Business,Sr., LS","Basically, it came down to growth opportunity. With the change in SDLC, the role of a BA was slowly reducing to being more of a scribe. With many aspects of the role being outsourced to outside vendors or shifted to the product team, it felt like sooner or later this role in the agile development model will become extinct. The natural shift would have been to either move to the product management side or to work on something else. I've noticed that the transition to become a product management would also require much effort and it seem to have negatively affected some relationships for people who have made the change. Mainly that they end up Beverly truly leave the position of a BA to transition into a produce manager, rather take on both responsibilities of the two roles. There's is not a clear definition of the move. So as a BA, your options are limited. "
"Manager,Sales,Retail",Promises made when I joined the firm were not kept. I had a revolving door of sales and regional managers while I was there. Processing cared more about numbers than quality. The entire experience was terrible.
"Loan Officer,Rtl,Prtfl","New director of sales- John Parsons- was verbally abusive and demeaning to me. His way or the highway is what I was able to acertain from our 'conversations'. My manager, marten Mann was a pleasure to work with- good manager. John needs some serious work on his management skills. Also, the auto-fail process needs addressed. Some reps aren't being recorded while others have their checks taken from them. Process should be improved to coach instead of punish. "
"Loan Processor,Rtl,SL,Sr.","I left CMS due to a hostile work environment, harassment and bullying from management. There was no work/life balance.  There are several things that happened in my year and a half of which I have documentation but the final straw for me was a threatening email that went out just moments after I told my direct supervisor that I was unable to work on a Saturday due to I had to go to GA to pick up my elderly mother to bring her to FL to temporarily stay with me.  I went to my local HR representative (this was the 2nd time I had made a complaint to him in which he never followed back up with me) and was basically told that I would be fired or written up if I went to pick up my mother. I turned in my 2 week notice of resignation that afternoon.   /  / I know there were several complaints filed with HR from other co workers but it was becoming apparent that nothing was going to improve. There was no respect or support for the employees. "
"Specialist,Disbr,CTS",Starting my own business
"Rep,CustomerResearch,CMS","1.salary / 2.there was no opportunities of advancement for me, people that had been there less time than I have got the chance to advance and all they did was become close and good friends with management to get the position they wanted. I was in the first group that got hired while the company was still in fishers, we were also the first people in the new building way before they did construction down stairs. I got to see lots of people go in and out of the training room and company, and lots of them got a better position than I did or advanced way faster than I did. Then when I became pregnant my supervisor encouraged me to quit. The same supervisor that later got a better position as an underwriter sup. I just don't understand the company's standards. I had a lot to offer and bring to the table yet I never got the chance to prove it. / 3.distance "
"Loan Officer,Brnch,Inside","I was a BM who started mid-November.  I inherited one LO and she closed two loans that month, after I was in place.  I was not paid the override that, per my contract, I should have received.  Not a great start. /  / Rates are way out of market for good borrowers, which represents the majority of my clients and this geographical area.  This made it very challenging to recruit and keep LOs.  Culture for LOs very ""used car salesman"" like - everything is ""urgent"".  Urgent to get loans in, urgent to get them closed this month.  Repeat (urgently).  I like that everyone is focused on getting loans done, but I find the whole month-end thing arbitrary and ultimately something that will burn folks out.  I was with CMS for 6 months and in that time there were 2 major reorganizations.  Yuck! /  / On the plus side, good comp plan, manual u/ws for underserved, helpful tools for LOs to use to get Realtor business."
"Loan Officer,Rtl,Prtfl",Processes and procedures need to Ben updated communication throughout department are not coeshive and lots of unaligned process segments not aligned for smooth processes 
RE Sales Agent,I was removed because I had no activity but I would love to come back as I have a few potential clients. 
RE Sales Agent,WAS LOOKING FOR RE INVESTOR AGENT FRIENDLY BROKERAGE.
RE Sales Agent,When I saw your add its says that you have Boomtown  as source of leads but you only get leads after completing three transactions.Three transactions with my SOI I could have have done in about 5 months and I was working on it very seriously.One of it was a very big commercial deal with my very motivated my personal friend.By the time I had completed my three transactions and started getting leads from Boomtown that would have may be taken  another six months or so to cultivate those leads into sale. But I was very motivated about me and the real estate business and wanted to dig in right away but unfortunately it did not happen.One more thing I wanted to mention here is that my broker Usha is a great person and excellent trainer. Your agent pay plan is very good and I may come back after year or so hopefully if it is Ok with you guys.
RE Sales Agent,As a new agent there were videos and reading material but no actual support. We had weekly conference calls seasoned agents could discuss their success its not exactly a welcoming place for someone new.
"Supervisor,Bankruptcy","I left Carrington due to my superior manager and the unfair treatment. Management. I was tired of being belittled in front of my staff. The miss leading information. I was put on a project and never got paid for it. One thing was promised and management did not deliver. I was also call names and disrespected. my work was called trash and I was never given direction or expectations, and when I would ask for them they took it as complaining. I did not leave Carrington I left management. I had enough of management's abuse which lead me to walk out. "
"Loan Officer,Rtl,Prtfl,Sr",Need more refreshed leads 
RE Sales Agent,"Long time broker of record and office leader, I left because I felt that opportunities were somewhat limited to grow with the organization. I also felt the companies vision was muddled and out of touch. I also felt that the upper leadership team was all flash and no real substance."
"Specialist,CS,I",I left since I was looking for an earlier shift and Carrington could not work with my schedule. 
RE Sales Agent,I have not left Carrington. My California license is still with Carrington. 
RE Sales Agent,"Hello. Fees are too high , no support, 4 managing brokers changed thru the time I worked with Carrington, no REO assignments as was promised , E&O renewal is late or not updated till last day.   "
RE Sales Agent,When Carrington bought bout realty direct I went from working in Oldsmar for broker Dan Depies to working for a broker I respected and admired to two Broker's that made working for warrington unbearable.Russ Laggon  & Adrian Petrilla are the worst brokers I have come in counter with in my 13 years in the business. The final straw was that I have my brokers license & they advertised and hired a broker never giving me the opportunity. I have a finance degree fro St. John's University I took the job at Carrington because I thought there would be room for advancement when realized that was not available I left.
"Loan Officer,Rtl,Prtfl",I felt like a telemarketer. I sat at my desk all day to maybe talk to 3 customers all day. For the customers to tell me that they felt like we were harassing them. And most of the loans that we were doing are not really helping the customer because we are adding the MI for a longer period of time so it truly was not a benefit. Also we are told not to discuss the MI or rate to the customer. It was a very uncomfortable job bugging them. I would feel a lot better if we were actually helping them.
RE Sales Agent,"it was not at all how it was introduced me.  studied many many portals to become a go to REO agent, Carrington constantly wanted more testing take this module take that module with no benifit and quite frankly I was to busy to put that much time into something that was not working for me. I am used to a more close nit environment and Carrington simple was not. Too corporate  and stuffy. The offices where horrific I could not bring my clients there did not even have land land phones. As a real estate/mortgage Broker I expected much more. "
"Specialist,CS,I",I left Carrington for further growth as I felt that a full time position closer to my home was more adequate.
"Specialist,CS,Sr.","I was offered more to work at home as an appraisal underwriter.  I no longer have to get up at 4:30 am to leave at 6:00 am to stay out of traffic and to secure I had a good parking spot up front due to my disabilities.  I really enjoyed working there, but was driving 84 miles a day round trip.  I do miss my Carrington family. "
"Paralegal, Litigation",There is little to no training and organization.  
RE Sales Agent,Did not pay good
"Specialist,CS,I",family obligations  / work hours  11am-8pm
RE Sales Agent,I didn't have enough time at this time to do real estate 
"Specialist,Special Servc.",To pursue additional career opportunities. 
"Mngr,InsideSales,Retail",Bad compensation plan for branch managers.  Loans taking two times as long to close thus affecting pay/comp
"Loan Processor,Rtl,SL,Sr."," While I once greatly appreciated the opportunity, the overly aggressive management style incorporated and encouraged by leadership, including my direct supervisor and director, has caused me such intense emotional distress and acute physical illness to the point I was forced to take a leave of absence in order to recover. / I now know that I cannot successfully work under such abrasive management and provide a meaningful contribution to the organization.  I have no choice but to resign. / "
RE Sales Agent,"I had a family emergency that was beyond my control, and was not able to perform my duties properly. "
"Analyst,Investor Rprtng","I began liking Carrington very much however as time went on I noticed upper management in my department was too distant for my taste. She never spoke to anyone within the staff, just very non personal and I was use to a very personal management style. "
RE Sales Agent,Apparent discrimination.
RE Sales Agent,I DID NOT LEAVE. JUST RECIEVED A NOTICE ( FROM JERRY) . I WOULD LIKE A CHANGE TO COME BACK.
"Loan Officer, Retail",The constant desperation emails from the CEO and Coo were unsettling
RE Sales Agent,"Hello.   / At the time I was signing on to work on a part time basis with CRES I was promoted to a Technology Managements /  position in a new department that required me to not only learn the new area I support, new direct reports but several new exciting technologies that we are rolling out over the next 3 to 5 years.  The increase in pay, opportunities and responsibilities was too great to put in jeapordy by not dedicating 100% of my time towards it. / Thanks / Valerie Jones"
RE Sales Agent,I'm a part time agent that needed a little more support from the broker. He was available most of the time. Please I needed a office closer to home. 
RE Sales Agent,"No broker, no support, it felt as if you never existed..."
"Loan Officer,Rtl,Prtfl",I left because of my direct manager. Many people on my team I was on have the same issues. This is why others from my team left the company as well.
"AE, Whlsale, Inside","Unorganized,  /  / "
RE Sales Agent,I left because there were no leads coming in as stated on the advertisement of when they were looking for agents. Boomtown is a good platform but it seemed like all the advertising was for California there was no local advertising here in Colorado to help generate those leads. 
"Mngr,InsideSales,Retail","I was a Retail Branch Manager. The RVP I reported to, Mark Allanach, was constantly going directly to my employees to ""touch base"". This created and environment of confusion for them as to who was in charge. "
RE Sales Agent,Moving out of state. 
"Manager,RtlLnd,Prtfl","Business Model was not what I had expected when I was hired. I expected to entertain outside business along with our internal portfolio but there was so much incompetence among operations and sales as so many do not belong in this industry. My strengths were not being utilized to increase my business as well as the company, plus Carrington could never close a file on time. Playing with people's livelihood is not a good thing ever. This is why there is such a huge turnover with employees, they work their tails off and in the end, compensation was completely faulty. Benefits were excellent though. My current position at my new employer, I am earning 4-5 times more than what I was earning with Carrington and not having to work 50-60 hours weekly and not having to drive 70 miles daily."
RE Sales Agent,I never really started - never met the office manager which I found odd. Interview was done by phone & email. Considered the change back to sales at a time when I thought REO was the way to go to generate quick listings (office supplied). After online training for your vendors and looking through all the corporate pages of various contracts I found the work on REO's to be excessive to the final paycheck after everything was taken out. It no longer made sense for me.
RE Sales Agent,It is not possible to do good business without good leads and neither Carrington nor I could provide good leads.
RE Sales Agent,Because I was having a few financial issues and could not pay my association dues on time and I received a letter i the mail from the BRE telling me that I no longer worked there as per your request. It was not exactly my choice.
"Loan Officer,Rtl,Prtfl","I was unable to make money due to the leads being very low. The loans I was being asked to sell were of no benefit to the customer. I had to train my sales manager on all the computer programs needed to do my job. I did not have confidence that the VP of the call center was sufficiently ""plugged in"" to what we had coming across the dialer to help us make more loans and thus make more money. "
RE Sales Agent,I thought there was going to be an opportunity for me to work with a certain type of real estate that i was experienced and familiar but that was not the case.
RE Sales Agent,Too many costs and fee's added to your bottom line leaving me feeling ripped off.
RE Sales Agent,FSBO laid me off and Carrington wasn't prepared to take me on.  I lost everything I had been working on with no compensation and no support. Dory Gordon rocks!  I am grateful I met her.
"Specialist,Service Releas",No training put into a position and set for failure. Environment to prison like.
"AE, Whlsale, Inside","I would say Kevin DeLory was a wonderful person to work for. I was disappointed with the operations. I felt that they were behind the curve on hiring people, which caused problems on the sales end. If they corrected those issues, I would go back to work for Kevin in a heart beat. Great man and person, I did not want to leave, but felt operations was not going to improve."
RE Sales Agent,"Hello from Arvada!  I was initially very excited about the opportunity to put my many years of experience to work for Carrington, but I soon felt that I was working for a xompeting broker who was taking leads that were xoming into the office and distributing them to his family members (who worked out of the same office under a different company name and/ or taking them for himself."
"Loan Officer,Centralized","I felt my manager was not doing a good job. He held way too many meetings, and treated his employees like children. I also felt the sales lead system was corrupt. Nikki Yun and Tom Choles should not get to cherry pick all of the company's best leads. There was also some sort of problem distributing the inbound calls. Carrington also was not doing a good job on adjusting to changing market conditions, and as such was at a competitive disadvantage. Finally, I hated Catalyst, and Encompass performed so slowly it seriously hindered me from performing my job in an efficient manner"
RE Sales Agent,I want to pursue other avenues besides real estate.
RE Sales Agent,I  had no support by the Agent who recruited me. I went through months of classes and certifications to receive REO properties in Santa Barbara County and not once did I get any referrals. 
"Spec,Order Entry,CTS",Worst company I've ever worked for. No room for growth. Some people have been their 3+yrs and have NEVER had a promotion or pay increase.
"Loan Officer,Rtl,Prtfl",I wrote a 12 page letter describing why I left. Would you like for me to send it?
"Loan Officer,Rtl,Prtfl","In January, after 2 years +, upper management decided to split the team I was on and put me in the Centralized call center.  I struggled with higher rates and lower loan amounts and my pipeline went away.  I should have been kept on the full doc team.  Even though we were told ""we will make you whole"" for a drop in commission I received nothing.  I struggled with a management change and the constant negative leadership from our Director/VP.  I enjoyed working for John Parsons and have a great deal of respect for him.  Prior to the change to centralized John understood I was not being utilized properly.  I presented Ryan a proposal in October on a position I believe was and is needed in Westfield.  With the flow of new MLO's and ops staff this office needs a producing training manager.  Someone that works with new MLO's to make sure they are successful.  The current sink or swim method is costing Carrington money.  I miss the team and wish them nothing but the best. Ray B is a great man and I have nothing bad to say about his leadership and spirit. "
"Loan Officer,Rtl,Prtfl",I was offered another opportunity which had more long term stability 
"Technician,Field,II",Poor management 
"VP, Operations,CEI",Opportunity to open a new title agency.
"Specialist,CS,II","I worked in Customer Service for nearly two years while I worked on completing my Bachelor's degree in legal studies.  The management team in Customer Service was wonderful.  They were always very supportive of my education and worked with me to ensure that I completed my schooling in a timely manner.  It was because of the great experience that I had with Customer Service that I chose to pursue a career with Carrington in the legal department.  Twice I tried to apply for a Litigation Paralegal position that was opened up in Indianapolis, and both times I was turned down without getting to interview.  It upset me that I was not even given a chance to interview with anyone in Litigation, but it upset me even more that I was not even given so much as an email advising me that I was no longer in consideration for the position. I had to email the recruiter (Sarah I believe her name is) multiple times before I even got a response and it was only then that I was advised that they were not going to interview.  This lack of professionalism and this cold way of disregarding applicants disturbed me greatly.  So, I chose to accept a Paralegal position with a wonderful firm.  I loved my time at Carrington and would have happily stayed longer if I had been given the opportunity to work in my career field there, but unfortunately, that was not the situation. I hope in the future, Carrington does not make the same mistake again and pass on a talented individual before interviewing them.  "
RE Sales Agent,medical issues have kept me from working for about 6 months
"Loan Counselor,Srvng,I",Found a job closer to home and wasn't a fan of the training or supervisor I was assigned. Was told the job was collections and it ended up being customer service.
RE Sales Agent,100% commission
"Loan Officer,Rtl,Prtfl",I loves working at Carrington but needed to work with an alternate supervisor. I was told that was not an option so I decided to move on to other opportunities 
RE Sales Agent,"I thoroughly enjoyed Carrington. However, my manager Cindy Davis , was completely unacceptable. Never gave support in awkward critical situations.  / 100% why I left.  / Sincerely  / craig wells "
"Specialist,BK,Sr.","Health,personal issues, and the drive"
"Rep,CustomerResearch,CMS",We moved to Florida
RE Sales Agent,"I was a realtor with Carrington, I need more stable employment as an employee instead of a commission only employee. "
RE Sales Agent,I like Carrington and the brokers I worked for were great. I left to help a friend he needed to bring over a certain amount of licensed agents to his brokerage 
RE Sales Agent,I signed up for the leasing division. All the leads were not qualified or they didn't show or had bad credit. I didn't try the sales brokerage.
RE Sales Agent,Leaving field of real estate
RE Sales Agent,There's nothing for me in the company that would help me in Big Bear.
"Analyst,DefaultMIClaims",I left for a higher pay and 401K
RE Sales Agent,Wanted to explore other opportunities. 
RE Sales Agent,I thought I could get more help with transactions if I had a Broker near my home.  I found this is not true at all.  My Supervisor was not accessible for a while.  
"Developer,Web,Sr.",Carrington does not care about its Employees. Even the bonus was not given in one Payment. Cheap / 
"Loan Processor,Branch,I","There is a difference between a boss and a manager, I had a boss.   You never knew what kind of mood he was going to be in when he got to work.   So that would set the mood the entire day.   / I have never left a job like I did but coming home and having my family tell me I have been a bitch ever since I took this job is not good.     / He would talk to me and the other processor as if we were children or talk down to us.    He made me feel as if I didn't know how to do my job.   I had no training so what I was told was from the other processor.   i would do one thing on a file,  instead of contacting the borrower I would contact the liability company to find out info and he told me the loan officer should do that.     Then another time I would contact the loan officer to do it and he would tell us to stop.   So not really sure what I was supposed to do.    / Very disrespectful to me and a couple of other employees and no amount of money can make me stay in a situation like that.    / Love the company and what it stands for but not John sanders.   And when I heard he was promoted I was shocked.     Rob, a loan officer there should be the main person.   He is the one I went to for all my questions.    I could not ask John anything without my head being bitten off and talked down to.    "
"Loan Officer,BrnchOutside","I had to take an early retirement, I had to take custody of my three yr old Grandson and also care for my 90 yr old mother and was too overwhelmed to be able to give it my all and be successful at this time. "
"AE, Whlsale, Inside",I did not like being treated like a child and yelled at when my questions were not considered important by my supervisor. I did not like feeling stressed on my hour drive to work and wondering what the day would bring.  I resigned with no job in line because I just could not do it anymore. 
"Manager, Branch","I was brought to CMS to grow the Colorado market as an area manager.  I was micro managed by by my SVP and RVP.  They said I needed to become the best processor and babysit the pipeline everyday.  When I brought up my concerns my SVP said, ""maybe I should just fire you or replace you"".  The whole idea was to get additional support.  How operations at the processing level was really bad and why some of my LO's where going to leave.  I got tired of the daily calls telling me I was not good at what I did.  CMS was a good company but I don't know if it came from top to bottom but I know the belive of CMS was to manage two down and that did come from the top.  They have lost great talent and CMS SVP was very arrogant and did not care."
RE Sales Agent,I am somewhat technically challenged.  My on boarding process left me in the dark. 
RE Sales Agent,I left because I wasn't having success with Carrington. I had zero leads after 8 months. 
RE Sales Agent,Better job with pension
RE Sales Agent,"the main reason ws the commission split, also at the begging I was offered REO listings and they were declining more and more and other agent in the office were getting more and more and then on top of that the listing I was getting was only paying 1% commission at the end and after all the work I was putting on this property I was ending getting $200 not really worth for all the work. "
RE Sales Agent,Broker did not do what she said she would do.
RE Sales Agent,"1. completely un organized / 2. Owner (Larry) played favorites and reassigned 2 of my  huge assets to his wife ( Arianna) and one smaller asset to her assistant. This was after I had completed ALL THE LEG WORK ON THESE ASSETS over the course of SEVERAL MONTHS and no warning was given. I had over 12,000 in commissions wiped away, with no warning or explanation. The Broker at the time Jeff Bates, stated he would find out what happened, never heard back from him / 3. Jeff's cousin ( Noah Bates) was always assigned assets as well as well as all the other members of the team that Jeff favored or who had been working with him from the beginning / 4. Company never took responsibility for paying vendors. I have a handyman harassing me TO THIS DAY ( 2 years after the fact) about a re key payment he NEVER RECEIVED even though, the procedure, if it can be called that, was followed to a tee, in order to get him payment. / 5. Payments were ALWAYS LATE, even after deals had closed there would always be an excuse from Jeff as to why monies were not available. / 6. Once Arianna married Larry, her asset assignment BOOMED. She always had the best and most expensive assets assigned to her. The system was not random as they claimed. While Larry and Arianna were taking trips to Europe and having more kids, many of the agents in the company were living hand to mouth and eeking out deals, even though the Boomtown system created was supposed to be this great lead generator, what a joke. Everyone knew Carrington was great at the ""trickle down"" asset economics and there was definitely a pecking order. / 7. I once saw on Jeffs MLS he saved a search as a ""house for DA NIGGA Bruce"" ( disgusting), as I am African American and couldn't believe my eyes when I saw that. /  /  / One of the most unprofessiona"
RE Sales Agent,Because broker wasn't truthful. Carrington compliance took 3 or 4 weeks to clear my commission checks. Equator would asks for tasks over and over. When had been completed more once. Dropping my local mls which i needed badly. Very more communication.
"RE Sales Agent, Team Lead",I moved and am still unsettled as to my final destination
RE Sales Agent,"Im sure they are a great company for experienced realtors. But as a new realtor in the business, i was looking for hands on training, one on ones and a mentor who is willing and patient enough to train. I was also looking for a broker who offers leads. Carrington only provided leads to realtors with experience and high closing rates."
RE Sales Agent,Inaccurate pay stubs and excessive transaction fees are the number one reason. I am now at a company where I pay no transaction fees I get 100% commission and I only pay $79 a month.  I would have stayed at Carrington had I been treated better but I was not treated well and they were taking 60% of my pay so it was an easy decision to move after the Foreclosure pipeline stopped.  /  / I also had a major problem with a contractor of yours Nationstar... and when I tried to force compliance on them the broker threatened to fire me. /  / It was best that we part ways on all levels. I did not feel the company was loyal to me in any form nor did they support me and it was sad because I made them a lot of money over time
RE Sales Agent,"To many benefits in Carringtons behalf. Commission split to high, players club received payment out of my commission. I have no idea what the players club represented in relation to Carrington.  Usually didn't receive commission on a timely manner. From what I experienced I would have to know all of the real estate answers in order to revolve any issues regarding Real Estate. Contracts Sat on the desk of admin which held up my commission check. "
RE Sales Agent,I didn't leave I received a letter from the DRE..saying I was no longer a part of Carrington 
"Loan Counselor,Srvng,I","Carrington has the potential to be a wonderful company! Currently it doesn't seem as the customers are that important. When I left there were steps being made to change that. At a very slow progression rate though. 99% of the calls I took were of unhappy customers. Of course not all the blame was Carrington on these calls, but majority were. Carrington is striving for an improved atmosphere for its associates. It does not seem every manager/supervisor in the Plano location lives to that standard 100%. Seems like a very high school environment. Favoritism shown to certain associates. Exceptions being made sometimes for certain associates/supervisors. Communication was also not the best between managers to supervisors. Then supervisors to associates. A lack of proper communication can & will create frustration & a lack of trust.  /  / I have not been with Carrington for a few months now. I'm not sure if the things I witnessed are still valid. /  / I hope this helps Carrington be the awesome company is meant to be "
"Specialist,LnStUp,Whls,II",Too much overtime 
RE Sales Agent,"I never got paid commission on time too much money was taken out of commission check. Money from my check was going to non existent organization called "" players club"". Did not trust my manager who knew nothing about real estate and gave all the wrong answers when I had a question and became extremely defensive when I questioned what ""Players club"" was? When you call corporate office no one could answer questions or in most cases no one would answer phone to assist you with questions. Never received promised leads."
"AVP,Broker/Manager",I will pass on this. 
RE Sales Agent,"When I had a commission issue, the corporate people in charge of my commission had no interest in helping me.   "
"Manager, Branch, Ramp-Up Producing",I received an offer to manage without be concerned with recruiting or originating 
RE Sales Agent,I wanted to do rentals in Boston as I learned the sales side of real estate. Several changes in office managers in a brief time period as well as the consolidation of offices to a location outside of Boston eliminated the rental aspect of the position.
"Loan Counselor, Servicing, I",I left Carrington due to no fault of Carrington. I felt at home with Carringotn and really loved my career their. I started having issues with my hand and wrist and when I went to the ER I found out I had Gangelion Cysts and had to get them removed. The only thing I would have changed about my career was the department I was in. I did enjoy my employment with Carrington and hope one day when my hand and wrist is healed I could possibly come back.
"Accountant, Sr.","The manager I met during the interview was not the same person I worked with. Everything we discussed during the interview did not occur once I started. She was a rude, unprofessional and unethical manager that assigned me to tasks that were not part of the job I assumed I was taking when I joined CMH.   she allowed offsite managers and employees to harass me in emails where I was humiliated with multiple people CC'd and had no direct connection to my tasks. She placed an equal employee as my direct supervisor because in her own words ""she didn't have time to deal with me""  The environment around me was one of hostility since everybody around me gossiped in the early hours (before 8) about fellow employees, someone new like me and managers. when I gave notice and had an interview with HR, the same gossipers blamed me for taking away the manager. That I must've done something to her.   Given the work assigned to me there was no opportunity for advancement or growth, as agreed in the interview. I was completely candid during the interview and that was obviously not reciprocated. I was lied to.  A manager with numerous years of experience would not be behave that way towards anybody, let alone a new employee.   "
"Loan Officer, Regional Sales Ctr, Inside",I  discovered  I had some medical problems after I started he job ! And I  am taking care of my health now.     Phil is an awesome guy to work for !  Very patience and knowledgeable !    And Carrington is a great company.   I will recemend to all !    At this time I don't want a lot stress   So I am taking care of my health   If I can be of any help. Please let me know .    Thank you for your concern    Regards   Sherry Meyer  
"Specialist, Post Close, MLD",Poor management 
RE Sales Agent,Found a broker that I like and trust closer to my home address- commute is much better-easier.
"Coordinator, Default Invoice",My manager at the set me up to fall.  Poor poor training 
